,,,,,UVa Bookstores Web List,,,10/23/2019,,9:48:28AM
,,,,,Copyright University of Virginia,,,,,
Term,Dept,Course,Sect,Instructor,Title,Author,Req Type,ISBN,New,Used
2019VUVA,AMST,3559,2,"ROSS,MARLON B",NATIVE SON ABRGD ED,WRIGHT,Required,0-06-053348-X,$15.99,$7.96
2019VUVA,AMST,3559,2,"ROSS,MARLON B",LET ME LIVE,HERNDON,Required,0-472-03199-6,$29.95,$17.88
2019VUVA,AMST,3559,2,"ROSS,MARLON B",DEM,KELLEY,Required,1-56689-102-7,$16.95,$8.43
2019VUVA,AMST,3559,2,"ROSS,MARLON B",IF HE HOLLERS LET HIM GO,HIMES,Required,978-1-56025-445-4,$15.99,$7.96
2019VUVA,AMST,3559,3,"SEWELL, JESSICA",COLOR OF LAW,ROTHSTEIN,Required,978-1-63149-453-6,$17.95,$13.50
2019VUVA,AMST,3559,3,"SEWELL, JESSICA",CHOCOLATE CITIES,HUNTER,Required,978-0-520-29283-3,$29.95,$22.45
2019VUVA,AMST,3559,3,"SEWELL, JESSICA",HOW RACISM TAKES PLACE,LIPSITZ,Required,978-1-4399-0256-1,$30.95,$23.10
2019VUVA,AMST,3559,4,"DEETZ, KELLEY",WHISTLING VIVALDI,STEELE,Required,0-393-33972-6,$15.95,$11.95
2019VUVA,AMST,3559,4,"DEETZ, KELLEY",(eBook) Whistling Vivaldi: And Other Clues to How Stereotypes Affect Us (IssuesSTEELE,,Optional,978-0-393-34148-5,$15.95,$0.00
2019VUVA,AMST,4401,1,BRICKHOUSE,SOUND AND THE FURY,FAULKNER,Required,978-0-679-73224-2,$15.00,$11.25
2019VUVA,AMST,4401,1,BRICKHOUSE,ONE HUNDRED YEARS OF SOLITUDE (TRANS. RABASSA)GARCIA MARQUEZ,,Required,0-06-088328-6,$16.99,$8.46
2019VUVA,AMST,4401,1,BRICKHOUSE,BRIEF WONDROUS LIFE OF OSCAR WAO,DIAZ,Required,1-59448-329-9,$10.21,$7.97
2019VUVA,AMST,4401,1,BRICKHOUSE,I RIGOBERTA MENCHU (2ND),BURGOS-DEBRAY,Required,1-84467-418-5,$23.95,$11.93
2019VUVA,AMST,4401,1,BRICKHOUSE,SALVAGE THE BONES,WARD,Required,1-60819-626-7,$17.00,$8.46
2019VUVA,AMST,4401,1,BRICKHOUSE,THERE THERE,ORANGE,Required,978-0-525-43614-0,$16.00,$12.00
2019VUVA,AMST,4401,1,BRICKHOUSE,TENTACLE,INDIANA,Required,978-1-911508-34-2,$13.95,$10.45
2019VUVA,AMST,4500,5,KASTLEMAN,**ANGELS IN AMERICA PART ONE: MILLENNIUM,KUSHNER,Pick One,1-55936-061-5,$12.95,$7.73
2019VUVA,AMST,4500,5,KASTLEMAN,**ANGELS IN AMERICA (COMBINED),KUSHNER,Pick One,1-55936-231-6,$16.95,$8.43
2019VUVA,AMST,4500,5,KASTLEMAN,M. BUTTERFLY,HWANG,Required,978-0-525-53371-9,$13.00,$6.48
2019VUVA,AMST,4500,5,KASTLEMAN,FUN HOME,BECHDEL,Required,978-0-573-70457-4,$11.95,$8.95
2019VUVA,AMST,4500,6,DAUER,WIELAND & MEMOIRS OF CARWIN THE BILOQUIST,BROWN,Required,0-14-039079-0,$14.00,$10.50
2019VUVA,AMST,4500,6,DAUER,"WALDEN, CIVIL DISOBEDIENCE & OTHER WRITINGSTHOREAU",,Required,0-393-93090-4,$21.35,$14.93
2019VUVA,AMST,4500,6,DAUER,"NARRATIVE OF THE LIFE OF FREDERICK DOUGLASS, AN AMERICAN SLAVEDOUGLASS",,Required,0-14-310730-5,$13.00,$9.75
2019VUVA,AMST,4500,6,DAUER,SECRET HISTORY OR HORRORS OF ST.DOMINGO & LAURASANSAY,,Required,1-55111-346-5,$17.88,$7.50
2019VUVA,AMST,4500,6,DAUER,CONFESSIONS OF NAT TURNER W/DOCUMENTS,GREENBERG,Required,1-319-06486-8,$20.99,$17.00
2019VUVA,AMST,4500,6,DAUER,"BILLY BUDD, BARTLEBY AND OTHER STORIES",MELVILLE,Required,0-14-310760-7,$11.00,$5.48
2019VUVA,AMST,4500,6,DAUER,LETTERS FROM AN AMERICAN FARMER & SKETCHES OF 18TH CENTURY AMERICADE CREVECOEUR,,Required,978-0-14-039006-3,$16.00,$7.96
2019VUVA,AMST,4500,6,DAUER,FETTERED FOR LIFE,DEVEAUX,Required,978-1-55861-554-0,$22.95,$17.20
2019VUVA,AMST,4500,6,DAUER,"(eBook) Secret History; or, The Horrors of St. Domingo and LauraSANSAY",,Optional,978-1-4604-0167-5,$18.59,$0.00
2019VUVA,ANTH,1010,100,SICOLI,"ANTHROPOLOGY: Asking Questions about Human Origins, Diversity, and CultureWELSCH",,Required,0-19-994759-7,$89.95,$53.70
2019VUVA,ANTH,1010,100,SICOLI,(eBook) Anthropology,WELSCH,Optional,978-0-19-994762-1,$44.98,$0.00
2019VUVA,ANTH,2250,1,HANDLER,FIRE NEXT TIME,BALDWIN,Required,0-679-74472-X,$13.95,$10.57
2019VUVA,ANTH,2250,1,HANDLER,BECOMING INDIAN,"STRUM, CIRCE",Required,978-1-934691-44-1,$27.95,$21.18
2019VUVA,ANTH,2280,100,"SCHERZ, CHINA",SPIRIT CATCHES YOU & YOU FALL DOWN W/NEW AFTERWORDFADIMAN,,Required,0-374-53340-7,$9.16,$7.46
2019VUVA,ANTH,2400,1,DOBRIN,HOW WE TALK,ENFIELD,Required,978-0-465-05994-2,$27.00,$20.25
2019VUVA,ANTH,2430,100,MIRZAYAN,SPOKEN HERE,ABLEY,Required,0-618-56583-3,$18.95,$9.42
