Dept,Course,Title,Author,New,Used,
ANTH,2800,*ARCHAEOLOGY ESSENTIALS W/CODE,BAHN,$78.67 ,$59.00 ,
ANTH,3010,POSTMODERNISM FOR BEGINNERS,POWELL,$16.99 ,$8.46 ,
ANTH,3010,ANTHROPOLOGICAL THEORY,MCGEE,$105.00 ,$78.36 ,
,,Page 2 of 79,,,,
Dept,Course,Title,Author,New,Used,
ANTH,3010,STRUCTURALISM & POSTSTRUCTURALISM FOR BEGINNERSPALMER,,$16.99 ,$8.47 ,
ANTH,3010,POSTCOLONIALISM: A VERY SHORT INTRO,YOUNG,$11.95 ,$8.93 ,
ANTH,3100,OUR HISTORY IS FUTURE,ESTES,$26.95 ,$20.21 ,
ANTH,3100,AS LONG AS GRASS GROWS,GILIO-WHITAKER,$25.95 ,$18.75 ,
ANTH,3129,PLAGUES & PEOPLES,MCNEILL,$13.60 ,$8.45 ,
ANTH,3129,MARRIAGE & MANDATORY ABORTION AMONG THE 17TH-CENTURY SIRAYASHEPHERD,,$20.00 ,$15.20 ,
ANTH,3129,DEMOGRAPHY,YAUKEY,$53.95 ,$10.00 ,
ANTH,3129,OUR SHRINKING PLANET,BACCI,$19.95 ,$11.91 ,
ANTH,3152,CONSUMING GRIEF,CONKLIN,$26.95 ,$20.12 ,
ANTH,3152,CHRONICLE OF THE GUAYAKI INDIANS,CLASTRES,$21.95 ,$13.10 ,
ANTH,3152,**ANTHROPOLOGY OF LOVE & ANGER,OVERING,$56.95 ,$42.51 ,
ANTH,3152,FALLING SKY,KOPENAWA,$39.95 ,$20.40 ,
ANTH,3152,(eBook) The Anthropology of Love and Anger,OVERING,$28.48 ,$0.00 ,
ANTH,3155,AND THEY ALL SANG HALLELUJAH,BRUCE,$20.00 ,$14.93 ,
ANTH,3155,SHOPKEEPER'S MILLENNIUM 25TH ANNIV ED,JOHNSON,$13.21 ,$8.42 ,
ANTH,3155,ROCKDALE,WALLACE,$24.00 ,$18.00 ,
